det(mulher-2, Essa-1)
nsubj(é-2, Barata-1)
root(ROOT-0, é-2)
det(bicho-4, outro-3)
attr(é-2, bicho-4)
nsubj(causa-7, que-5)
iobj(causa-7, me-6)
rcmod(bicho-4, causa-7)
dobj(causa-7, pena-8)
p(é-2, .-9)

nsubj(gosta-2, Ninguém-1)
root(ROOT-0, gosta-2)
adpmod(gosta-2, dela-3)
cc(gosta-2, e-4)
nsubj(querem-6, todos-5)
conj(gosta-2, querem-6)
xcomp(querem-6, mata-la-7)
p(gosta-2, .-8)

adpmod(corre-7, Às-1)
adpobj(Às-1, vezes-2)
det(pai-4, o-3)
nsubj(corre-7, pai-4)
adpmod(pai-4, da-5)
adpobj(da-5, criança-6)
root(ROOT-0, corre-7)
adpmod(corre-7, pela-8)
adpobj(pela-8, casa-9)
amod(casa-9, toda-10)
adpmod(corre-7, com-11)
det(chinelo-13, um-12)
adpobj(com-11, chinelo-13)
adpmod(chinelo-13, na-14)
adpobj(na-14, mão-15)
mark(pegar-17, até-16)
advcl(morrer-28, pegar-17)
det(bate-20, uma-18)
cc(uma-18, e-19)
dobj(pegar-17, bate-20)
adpmod(pegar-17, com-21)
det(chinelo-23, o-22)
adpobj(com-21, chinelo-23)
adpmod(pegar-17, em-24)
adpobj(em-24, cima-25)
adpmod(pegar-17, até-26)
adpobj(até-26, ela-27)
advcl(corre-7, morrer-28)
p(corre-7, .-29)

root(ROOT-0, Tenho-1)
dobj(Tenho-1, pena-2)
adpmod(pena-2, das-3)
adpobj(das-3, baratas-4)
mark(tem-7, porque-5)
nsubj(tem-7, ninguém-6)
advcl(Tenho-1, tem-7)
dobj(tem-7, vontade-8)
adpmod(vontade-8, de-9)
adpcomp(de-9, ser-10)
acomp(ser-10, bom-11)
adpmod(ser-10, com-12)
adpobj(com-12, elas-13)
p(Tenho-1, .-14)

nsubjpass(amadas-4, Elas-1)
advmod(amadas-4, só-2)
auxpass(amadas-4, são-3)
root(ROOT-0, amadas-4)
adpmod(amadas-4, por-5)
det(baratas-7, outras-6)
adpobj(por-5, baratas-7)
p(amadas-4, .-8)

neg(tenho-2, Não-1)
root(ROOT-0, tenho-2)
dobj(tenho-2, culpa-3)
p(tenho-2, :-4)
nsubj(mandou-6, quem-5)
parataxis(tenho-2, mandou-6)
dobj(mandou-6, elas-7)
xcomp(mandou-6, virem-8)
p(tenho-2, ?-9)

root(ROOT-0, Vieram-1)
mark(convidadas-4, sem-2)
auxpass(convidadas-4, serem-3)
advcl(Vieram-1, convidadas-4)
p(Vieram-1, .-5)

nsubj(convido-3, Eu-1)
advmod(convido-3, só-2)
root(ROOT-0, convido-3)
det(bichos-5, os-4)
dobj(convido-3, bichos-5)
dobj(gosto-8, que-6)
nsubj(gosto-8, eu-7)
rcmod(bichos-5, gosto-8)
p(convido-3, .-9)

cc(é-2, E-1)
root(ROOT-0, é-2)
acomp(é-2, claro-3)
csubj(é-2, convido-4)
dobj(convido-4, gente-5)
amod(gente-5, grande-6)
cc(gente-5, e-7)
conj(gente-5, gente-8)
amod(gente-8, pequena-9)
p(é-2, .-10)

root(ROOT-0, Sabem-1)
adpmod(Sabem-1, de-2)
det(coisa-4, uma-3)
adpobj(de-2, coisa-4)
p(Sabem-1, ?-5)

nsubj(convidar-4, Resolvi-1)
advmod(convidar-4, agora-2)
advmod(convidar-4, mesmo-3)
root(ROOT-0, convidar-4)
dobj(convidar-4, meninos-5)
cc(meninos-5, e-6)
conj(meninos-5, meninas-7)
mark(visitarem-10, para-8)
dobj(visitarem-10, me-9)
advcl(convidar-4, visitarem-10)
adpmod(visitarem-10, em-11)
adpobj(em-11, casa-12)
p(convidar-4, .-13)

aux(ficar-2, Vou-1)
root(ROOT-0, ficar-2)
advmod(feliz-4, tão-3)
acomp(ficar-2, feliz-4)
nsubj(darei-6, que-5)
ccomp(ficar-2, darei-6)
adpmod(darei-6, a-7)
det(criança-9, cada-8)
adpobj(a-7, criança-9)
det(fatia-11, uma-10)
dobj(darei-6, fatia-11)
adpmod(fatia-11, de-12)
adpobj(de-12, bolo-13)
det(bebida-15, uma-14)
appos(fatia-11, bebida-15)
advmod(gostosa-17, bem-16)
amod(bebida-15, gostosa-17)
cc(bebida-15, e-18)
det(beijo-20, um-19)
conj(bebida-15, beijo-20)
adpmod(beijo-20, na-21)
adpobj(na-21, testa-22)
p(ficar-2, .-23)

det(bicho-2, Outro-1)
nsubj(é-7, bicho-2)
amod(bicho-2, natural-3)
adpmod(bicho-2, da-4)
poss(casa-6, minha-5)
adpobj(da-4, casa-6)
root(ROOT-0, é-7)
p(é-7, .-8)

root(ROOT-0, adivinhem-1)
p(adivinhem-1, !-2)

root(ROOT-0, Adivinharam-1)
p(Adivinharam-1, ?-2)

mark(adivinharam-3, Se-1)
neg(adivinharam-3, não-2)
advcl(faz-5, adivinharam-3)
neg(faz-5, não-4)
root(ROOT-0, faz-5)
advmod(digo-8, mal-6)
nsubj(digo-8, eu-7)
xcomp(faz-5, digo-8)
adpmod(digo-8, a-9)
adpobj(a-9, vocês-10)
p(faz-5, .-11)

det(bicho-3, O-1)
det(bicho-3, outro-2)
nsubj(é-8, bicho-3)
amod(bicho-3, natural-4)
adpmod(bicho-3, de-5)
poss(casa-7, minha-6)
adpobj(de-5, casa-7)
root(ROOT-0, é-8)
det(lagartixa-10, a-9)
attr(é-8, lagartixa-10)
amod(lagartixa-10, pequena-11)
p(é-8, .-12)

root(ROOT-0, São-1)
acomp(São-1, engraçadas-2)
cc(São-1, e-3)
neg(fazem-5, não-4)
conj(São-1, fazem-5)
advmod(fazem-5, mal-6)
dobj(fazem-5, nenhum-7)
p(São-1, .-8)

adpmod(adoram-5, Pelo-1)
adpobj(Pelo-1, contrário-2)
p(Pelo-1, :-3)
nsubj(adoram-5, elas-4)
root(ROOT-0, adoram-5)
xcomp(adoram-5, comer-6)
dobj(comer-6, moscas-7)
cc(moscas-7, e-8)
conj(moscas-7, mosquitos-9)
cc(comer-6, e-10)
advmod(limpam-12, assim-11)
conj(comer-6, limpam-12)
poss(casa-14, minha-13)
dobj(limpam-12, casa-14)
amod(casa-14, toda-15)
p(adoram-5, .-16)

nsubj(mato-3, Eu-1)
neg(mato-3, não-2)
root(ROOT-0, mato-3)
amod(mato-3, lagartixa-4)
cc(mato-3, mas-5)
conj(mato-3, tem-6)
dobj(tem-6, gente-7)
nsubj(corta-9, que-8)
rcmod(gente-7, corta-9)
dobj(corta-9, elas-10)
adpmod(corta-9, com-11)
det(chinelo-13, o-12)
adpobj(com-11, chinelo-13)
p(mato-3, .-14)

nsubj(é-2, Aí-1)
root(ROOT-0, é-2)
acomp(é-2, engraçado-3)
p(é-2, :-4)
det(pedaço-6, cada-5)
nsubj(começa-10, pedaço-6)
amod(pedaço-6, solto-7)
adpmod(pedaço-6, da-8)
adpobj(da-8, lagartixa-9)
parataxis(é-2, começa-10)
adpmod(começa-10, a-11)
dobj(mexer-13, se-12)
adpcomp(a-11, mexer-13)
acomp(mexer-13, sozinho-14)
p(é-2, .-15)

adpmod(fica-10, Por-1)
adpobj(Por-1, exemplo-2)
det(perna-4, uma-3)
nsubj(fica-10, perna-4)
partmod(perna-4, cortada-5)
cc(cortada-5, e-6)
conj(cortada-5, solta-7)
adpmod(solta-7, da-8)
adpobj(da-8, lagartixa-9)
root(ROOT-0, fica-10)
mark(mexendo-12, se-11)
advcl(fica-10, mexendo-12)
adpmod(mexendo-12, no-13)
adpobj(no-13, chão-14)
cc(fica-10, e-15)
conj(fica-10, tremendo-16)
det(tempo-18, o-17)
dobj(tremendo-16, tempo-18)
amod(tempo-18, todo-19)
p(fica-10, .-20)

root(ROOT-0, É-1)
det(mistério-3, um-2)
attr(É-1, mistério-3)
partmod(mistério-3, mexerem-se-4)
det(pedaços-6, os-5)
dobj(mexerem-se-4, pedaços-6)
mwe(de-8, antes-7)
mark(morrer-9, de-8)
advcl(mexerem-se-4, morrer-9)
p(É-1, .-10)

root(ROOT-0, O-1)
dobj(entendo-5, que-2)
nsubj(entendo-5, eu-3)
neg(entendo-5, não-4)
rcmod(O-1, entendo-5)
advmod(é-7, também-6)
ccomp(entendo-5, é-7)
det(paladar-9, o-8)
nsubj(tem-14, paladar-9)
amod(paladar-9, horrível-10)
nsubj(lagartixa-13, que-11)
dobj(lagartixa-13, a-12)
rcmod(paladar-9, lagartixa-13)
csubj(é-7, tem-14)
adpmod(tem-14, por-15)
adpobj(por-15, moscas-16)
cc(moscas-16, e-17)
conj(moscas-16, mosquitos-18)
p(O-1, .-19)

cc(é-2, Mas-1)
root(ROOT-0, é-2)
acomp(é-2, claro-3)
p(é-2, :-4)
mark(sou-7, como-5)
neg(sou-7, não-6)
advcl(gosto-10, sou-7)
nsubj(gosto-10, lagartixa-8)
neg(gosto-10, não-9)
parataxis(é-2, gosto-10)
adpmod(gosto-10, de-11)
adpobj(de-11, coisas-12)
dobj(gosta-15, que-13)
nsubj(gosta-15, ela-14)
rcmod(coisas-12, gosta-15)
cc(gosto-10, nem-16)
nsubj(gosta-18, ela-17)
conj(gosto-10, gosta-18)
adpmod(gosta-18, do-19)
dobj(gosto-22, que-20)
nsubj(gosto-22, eu-21)
rcmod(do-19, gosto-22)
p(é-2, .-23)

det(vez-2, Uma-1)
nsubj(prendemos-3, vez-2)
root(ROOT-0, prendemos-3)
det(mosquito-5, um-4)
dobj(prendemos-3, mosquito-5)
cc(prendemos-3, e-6)
conj(prendemos-3, olhamos-7)
dobj(olhamos-7, ele-8)
advmod(de-10, bem-9)
adpmod(ele-8, de-10)
adpcomp(de-10, perto-11)
adpmod(olhamos-7, com-12)
det(lente-14, uma-13)
adpobj(com-12, lente-14)
amod(lente-14, forte-15)
p(prendemos-3, .-16)

cc(imaginam-4, E-1)
nsubj(imaginam-4, vocês-2)
neg(imaginam-4, não-3)
root(ROOT-0, imaginam-4)
advmod(é-6, como-5)
ccomp(imaginam-4, é-6)
det(cara-8, a-7)
attr(é-6, cara-8)
adpmod(cara-8, de-9)
det(mosquito-11, um-10)
adpobj(de-9, mosquito-11)
p(imaginam-4, .-12)

root(ROOT-0, É-1)
advmod(esquisita-3, muito-2)
acomp(É-1, esquisita-3)
p(É-1, .-4)

neg(tenho-2, Não-1)
root(ROOT-0, tenho-2)
dobj(tenho-2, medo-3)
adpmod(medo-3, de-4)
adpobj(de-4, mosquito-5)
cc(de-4, nem-6)
conj(de-4, de-7)
adpobj(de-7, mosca-8)
cc(tenho-2, mas-9)
advmod(um-11, tanto-10)
conj(tenho-2, um-11)
adpmod(incomodam-16, como-12)
det(outro-14, o-13)
nsubj(incomodam-16, outro-14)
dobj(incomodam-16, me-15)
rcmod(um-11, incomodam-16)
advmod(incomodam-16, muito-17)
p(tenho-2, .-18)

det(lagartixa-2, A-1)
root(ROOT-0, lagartixa-2)
nsubj(é-4, que-3)
rcmod(lagartixa-2, é-4)
poss(amiga-7, minha-5)
amod(amiga-7, grande-6)
nsubj(ajuda-9, amiga-7)
dobj(ajuda-9, me-8)
csubj(é-4, ajuda-9)
adpmod(ajuda-9, com-10)
det(alegria-12, muita-11)
nsubjpass(sobremesa-18, alegria-12)
cc(alegria-12, porque-13)
conj(alegria-12, mosquito-14)
adpmod(alegria-12, para-15)
adpobj(para-15, ela-16)
auxpass(sobremesa-18, é-17)
adpcomp(com-10, sobremesa-18)
p(lagartixa-2, .-19)

nsubj(gostamos-3, Nós-1)
nsubj(gostamos-3, gente-2)
root(ROOT-0, gostamos-3)
adpmod(gostamos-3, de-4)
adpobj(de-4, sobremesa-5)
adpmod(gostamos-3, com-6)
adpobj(com-6, coco-7)
adpmod(gostamos-3, por-8)
adpobj(por-8, exemplo-9)
cc(gostamos-3, mas-10)
det(lagartixa-12, a-11)
nsubj(parece-14, lagartixa-12)
advmod(parece-14, até-13)
conj(gostamos-3, parece-14)
xcomp(parece-14, ter-15)
dobj(ter-15, nojo-16)
adpmod(nojo-16, desse-17)
adpobj(desse-17, doce-18)
p(gostamos-3, .-19)

det(lagartixa-2, A-1)
nsubj(fala-4, lagartixa-2)
neg(fala-4, não-3)
root(ROOT-0, fala-4)
neg(canta-6, não-5)
ccomp(fala-4, canta-6)
neg(dança-8, não-7)
nsubj(gosta-10, dança-8)
neg(gosta-10, não-9)
csubj(canta-6, gosta-10)
adpmod(gosta-10, da-11)
adpobj(da-11, gente-12)
mark(tem-14, porque-13)
advcl(gosta-10, tem-14)
dobj(tem-14, medo-15)
adpmod(medo-15, das-16)
adpobj(das-16, pessoas-17)
p(fala-4, .-18)

det(lagartixa-2, A-1)
nsubj(seria-3, lagartixa-2)
root(ROOT-0, seria-3)
det(perigo-5, um-4)
attr(seria-3, perigo-5)
adpmod(perigo-5, para-6)
adpobj(para-6, nós-7)
mark(fosse-10, se-8)
nsubj(fosse-10, ela-9)
ccomp(perigo-5, fosse-10)
acomp(fosse-10, igual-11)
adpmod(fosse-10, em-12)
adpobj(em-12, tamanho-13)
adpmod(tamanho-13, ao-14)
adpobj(ao-14, jacaré-15)
p(seria-3, .-16)

advmod(falar-3, Agora-1)
aux(falar-3, vou-2)
root(ROOT-0, falar-3)
adpmod(falar-3, sobre-4)
amod(convidados-6, bichos-5)
adpobj(sobre-4, convidados-6)
amod(convidados-6, igual-7)
adpmod(falar-3, ao-8)
poss(convite-10, meu-9)
adpobj(ao-8, convite-10)
adpmod(convite-10, para-11)
adpobj(para-11, vocês-12)
p(falar-3, .-13)

adpmod(basta-4, Às-1)
adpobj(Às-1, vezes-2)
neg(basta-4, não-3)
root(ROOT-0, basta-4)
xcomp(basta-4, convidar-5)
p(basta-4, :-6)
parataxis(basta-4, Tem-se-7)
mark(comprar-9, que-8)
ccomp(Tem-se-7, comprar-9)
p(basta-4, .-10)

mark(convidei-3, Por-1)
nsubj(convidei-3, exemplo-2)
root(ROOT-0, convidei-3)
num(coelhos-5, dois-4)
dobj(convidei-3, coelhos-5)
mark(morar-7, para-6)
advcl(convidei-3, morar-7)
adpmod(morar-7, com-8)
det(gente-10, a-9)
adpobj(com-8, gente-10)
cc(convidei-3, e-11)
conj(convidei-3, paguei-12)
det(dinheiro-14, um-13)
dobj(paguei-12, dinheiro-14)
adpmod(paguei-12, ao-15)
adpobj(ao-15, dono-16)
adpmod(dono-16, deles-17)
p(convidei-3, .-18)

nsubj(tem-2, Coelho-1)
root(ROOT-0, tem-2)
det(história-4, uma-3)
dobj(tem-2, história-4)
advmod(secreta-6, muito-5)
amod(história-4, secreta-6)
partmod(tem-2, quero-7)
xcomp(quero-7, dizer-8)
adpmod(dizer-8, com-9)
det(segredos-11, muitos-10)
adpobj(com-9, segredos-11)
p(tem-2, .-12)

root(ROOT-0, Eu-1)
mark(contei-4, até-2)
advmod(contei-4, já-3)
advcl(Eu-1, contei-4)
det(história-6, a-5)
dobj(contei-4, história-6)
adpmod(história-6, de-7)
adpobj(de-7, coelho-8)
adpmod(contei-4, num-9)
adpobj(num-9, livro-10)
adpmod(livro-10, para-11)
adpobj(para-11, gente-12)
amod(gente-12, pequena-13)
cc(contei-4, e-14)
conj(contei-4, para-15)
adpobj(para-15, gente-16)
amod(gente-16, grande-17)
p(Eu-1, .-18)

poss(livro-2, Meu-1)
nsubj(chama-6, livro-2)
adpmod(livro-2, sobre-3)
adpobj(sobre-3, coelhos-4)
prt(chama-6, se-5)
root(ROOT-0, chama-6)
advmod(chama-6, assim-7)
p(chama-6, :-8)
det(mistério-10, O-9)
parataxis(chama-6, mistério-10)
adpmod(mistério-10, do-11)
adpobj(do-11, coelho-12)
amod(coelho-12, pensante-13)
p(chama-6, .-14)

root(ROOT-0, Gosto-1)
advmod(Gosto-1, muito-2)
adpmod(muito-2, de-3)
adpcomp(de-3, escrever-4)
dobj(escrever-4, história-5)
adpmod(história-5, para-6)
adpobj(para-6, crianças-7)
cc(crianças-7, e-8)
conj(crianças-7, gente-9)
amod(gente-9, grande-10)
p(Gosto-1, .-11)

root(ROOT-0, Fico-1)
advmod(contente-3, muito-2)
acomp(Fico-1, contente-3)
mark(gostam-10, quando-4)
det(grandes-6, os-5)
nsubj(gostam-10, grandes-6)
cc(grandes-6, e-7)
det(pequenos-9, os-8)
conj(grandes-6, pequenos-9)
advcl(Fico-1, gostam-10)
adpmod(gostam-10, do-11)
mark(escrevi-13, que-12)
adpcomp(do-11, escrevi-13)
p(Fico-1, .-14)

mark(gostam-3, Se-1)
nsubj(gostam-3, vocês-2)
advcl(sente-24, gostam-3)
adpmod(gostam-3, de-4)
adpcomp(de-4, escrever-5)
cc(escrever-5, ou-6)
conj(escrever-5, desenhar-7)
cc(escrever-5, ou-8)
conj(escrever-5, dançar-9)
cc(escrever-5, ou-10)
conj(escrever-5, cantar-11)
partmod(gostam-3, façam-12)
mark(é-14, porque-13)
advcl(façam-12, é-14)
acomp(é-14, ótimo-15)
p(gostam-3, :-16)
mark(brinca-20, enquanto-17)
det(gente-19, a-18)
nsubj(brinca-20, gente-19)
advcl(sente-24, brinca-20)
advmod(brinca-20, assim-21)
neg(sente-24, não-22)
prt(sente-24, se-23)
root(ROOT-0, sente-24)
advmod(sozinha-26, mais-25)
acomp(sente-24, sozinha-26)
cc(sente-24, e-27)
conj(sente-24, fica-28)
adpmod(fica-28, de-29)
adpobj(de-29, coração-30)
amod(coração-30, quente-31)
p(sente-24, .-32)

nsubj(tem-4, Voltando-1)
adpmod(Voltando-1, aos-2)
adpobj(aos-2, coelhos-3)
root(ROOT-0, tem-4)
dobj(tem-4, gente-5)
nsubj(come-7, que-6)
rcmod(gente-5, come-7)
dobj(come-7, coelho-8)
p(tem-4, .-9)

nsubj(tenho-3, Eu-1)
neg(tenho-3, não-2)
root(ROOT-0, tenho-3)
dobj(tenho-3, coragem-4)
mark(é-6, porque-5)
advcl(tenho-3, é-6)
adpmod(é-6, como-7)
mark(comesse-10, se-8)
nsubj(comesse-10, eu-9)
adpcomp(como-7, comesse-10)
det(amigo-12, um-11)
dobj(comesse-10, amigo-12)
p(tenho-3, .-13)

det(coelhos-3, Os-1)
num(coelhos-3, dois-2)
nsubj(eram-8, coelhos-3)
nsubj(tivemos-5, que-4)
rcmod(coelhos-3, tivemos-5)
adpmod(tivemos-5, em-6)
adpobj(em-6, casa-7)
root(ROOT-0, eram-8)
poss(amigos-10, meus-9)
attr(eram-8, amigos-10)
p(eram-8, .-11)

advmod(tivemos-2, Também-1)
root(ROOT-0, tivemos-2)
advmod(tivemos-2, aqui-3)
adpmod(tivemos-2, em-4)
adpobj(em-4, casa-5)
num(patos-7, dois-6)
appos(casa-5, patos-7)
partmod(patos-7, comprados-8)
mark(andavam-10, que-9)
ccomp(comprados-8, andavam-10)
det(dia-12, o-11)
dobj(andavam-10, dia-12)
amod(dia-12, inteiro-13)
advmod(andavam-10, atrás-14)
adpmod(atrás-14, da-15)
adpobj(da-15, gente-16)
adpmod(andavam-10, com-17)
det(modo-19, aquele-18)
adpobj(com-17, modo-19)
amod(modo-19, engraçado-20)
adpmod(modo-19, de-21)
adpobj(de-21, andar-22)
adpmod(andar-22, dos-23)
adpobj(dos-23, patos-24)
p(tivemos-2, .-25)

det(bicho-2, Outro-1)
nsubj(é-11, bicho-2)
nsubj(pensa-4, que-3)
rcmod(bicho-2, pensa-4)
mark(é-8, que-5)
det(gente-7, a-6)
nsubj(é-8, gente-7)
ccomp(pensa-4, é-8)
attr(é-8, mãe-9)
poss(mãe-9, deles-10)
root(ROOT-0, é-11)
det(pinto-13, qualquer-12)
attr(é-11, pinto-13)
p(é-11, .-14)

adpmod(é-5, Nesse-1)
adpobj(Nesse-1, ponto-2)
det(pinto-4, o-3)
nsubj(é-5, pinto-4)
root(ROOT-0, é-5)
acomp(é-5, igual-6)
det(gente-8, a-7)
nsubj(fica-10, gente-8)
p(gente-8, :-9)
csubj(é-5, fica-10)
adpmod(fica-10, com-11)
adpobj(com-11, saudade-12)
adpmod(saudade-12, do-13)
adpobj(do-13, calor-14)
adpmod(calor-14, da-15)
adpobj(da-15, galinha-mãe-16)
p(é-5, .-17)

nsubj(é-19, O-1)
dobj(fazer-6, que-2)
det(gente-4, a-3)
nsubj(fazer-6, gente-4)
aux(fazer-6, pode-5)
rcmod(O-1, fazer-6)
adpmod(fazer-6, de-7)
adpobj(de-7, bom-8)
adpmod(fazer-6, para-9)
det(pinto-11, um-10)
adpobj(para-9, pinto-11)
nsubj(piando-14, que-12)
aux(piando-14, fica-13)
rcmod(pinto-11, piando-14)
cc(piando-14, e-15)
conj(piando-14, chorando-16)
adpmod(chorando-16, de-17)
adpobj(de-17, saudade-18)
root(ROOT-0, é-19)
acomp(é-19, segura-lo-20)
adpmod(segura-lo-20, na-21)
adpobj(na-21, mão-22)
cc(é-19, e-23)
conj(é-19, esquentar-24)
det(corpo-26, o-25)
dobj(esquentar-24, corpo-26)
poss(corpo-26, dele-27)
p(é-19, .-28)

mark(pega-4, Quando-1)
det(gente-3, a-2)
nsubj(pega-4, gente-3)
root(ROOT-0, pega-4)
adpmod(pega-4, neles-5)
det(gente-7, a-6)
nsubj(sente-8, gente-7)
adpcomp(neles-5, sente-8)
det(coração-12, o-9)
poss(coração-12, seu-10)
amod(coração-12, minúsculo-11)
dobj(sente-8, coração-12)
partmod(sente-8, batendo-13)
advmod(batendo-13, dentro-14)
adpmod(dentro-14, do-15)
amod(corpo-17, pequeno-16)
adpobj(do-15, corpo-17)
amod(corpo-17, fofo-18)
cc(fofo-18, e-19)
conj(fofo-18, morno-20)
poss(corpo-17, deles-21)
p(pega-4, .-22)

nsubj(sentem-se-5, Embaixo-1)
adpmod(Embaixo-1, das-2)
adpobj(das-2, penas-3)
amod(penas-3, macias-4)
root(ROOT-0, sentem-se-5)
det(ossos-7, os-6)
dobj(sentem-se-5, ossos-7)
advmod(finos-9, bem-8)
amod(ossos-7, finos-9)
adpmod(ossos-7, das-10)
adpobj(das-10, costelas-11)
poss(costelas-11, deles-12)
p(sentem-se-5, .-13)

nsubj(é-2, Pinto-1)
root(ROOT-0, é-2)
advmod(magrinho-4, sempre-3)
acomp(é-2, magrinho-4)
p(é-2, .-5)

cc(morre-5, E-1)
advmod(morre-5, longe-2)
adpmod(longe-2, da-3)
adpobj(da-3, galinha-4)
root(ROOT-0, morre-5)
adpmod(morre-5, à-6)
adpobj(à-6, toa-7)
p(morre-5, .-8)

advmod(comprei-2, Já-1)
nsubj(morreu-8, comprei-2)
det(pintos-4, muitos-3)
dobj(comprei-2, pintos-4)
cc(pintos-4, e-5)
det(maioria-7, a-6)
conj(pintos-4, maioria-7)
root(ROOT-0, morreu-8)
p(morreu-8, .-9)

advmod(viver-4, Só-1)
aux(viver-4, continuavam-2)
adp(viver-4, a-3)
root(ROOT-0, viver-4)
det(pintos-6, os-5)
dobj(viver-4, pintos-6)
nsubj(tinham-8, que-7)
rcmod(pintos-6, tinham-8)
dobj(tinham-8, alma-9)
advmod(forte-11, mais-10)
amod(alma-9, forte-11)
p(viver-4, .-12)

advmod(tive-6, Quanto-1)
det(cachorros-3, a-2)
nsubj(tive-6, cachorros-3)
nsubj(tive-6, eu-4)
advmod(tive-6, já-5)
root(ROOT-0, tive-6)
dobj(tive-6, dois-7)
p(tive-6, .-8)

det(primeiro-2, O-1)
nsubj(foi-3, primeiro-2)
root(ROOT-0, foi-3)
advmod(foi-3, assim-4)
p(foi-3, :-5)
nsubj(morando-8, eu-6)
aux(morando-8, estava-7)
parataxis(foi-3, morando-8)
adpmod(morando-8, numa-9)
adpobj(numa-9, terra-10)
nsubj(chama-13, que-11)
prt(chama-13, se-12)
rcmod(terra-10, chama-13)
dobj(chama-13, Itália-14)
p(foi-3, .-15)

det(dia-2, Um-1)
nsubj(vi-8, dia-2)
partmod(dia-2, andando-3)
adpmod(andando-3, pelas-4)
adpobj(pelas-4, ruas-5)
adpmod(ruas-5, da-6)
adpobj(da-6, cidade-7)
root(ROOT-0, vi-8)
det(cachorro-10, um-9)
dobj(vi-8, cachorro-10)
amod(cachorro-10, vira-lata-11)
p(vi-8, .-12)

det(vira-latas-2, Os-1)
nsubj(são-3, vira-latas-2)
root(ROOT-0, são-3)
advmod(inteligente-5, tão-4)
acomp(são-3, inteligente-5)
mark(sentiu-11, que-6)
nsubj(sentiu-11, aquele-7)
dobj(vi-10, que-8)
nsubj(vi-10, eu-9)
rcmod(aquele-7, vi-10)
csubj(são-3, sentiu-11)
advmod(sentiu-11, logo-12)
mark(era-15, que-13)
nsubj(era-15, eu-14)
ccomp(sentiu-11, era-15)
acomp(era-15, boa-16)
adpmod(boa-16, para-17)
det(animais-19, os-18)
adpobj(para-17, animais-19)
cc(sentiu-11, e-20)
conj(sentiu-11, ficou-21)
adpmod(ficou-21, no-22)
amod(minuto-24, mesmo-23)
adpobj(no-22, minuto-24)
amod(minuto-24, alvoroçado-25)
partmod(ficou-21, abanando-26)
det(rabo-28, o-27)
dobj(abanando-26, rabo-28)
p(são-3, .-29)

advmod(olhar-6, Quanto-1)
adpmod(olhar-6, a-2)
adpobj(a-2, mim-3)
aux(olhar-6, foi-4)
advmod(olhar-6, só-5)
root(ROOT-0, olhar-6)
mark(apaixonei-10, que-7)
advmod(apaixonei-10, logo-8)
dobj(apaixonei-10, me-9)
ccomp(olhar-6, apaixonei-10)
adpmod(apaixonei-10, pela-11)
adpobj(pela-11, cara-12)
poss(cara-12, dele-13)
p(olhar-6, .-14)

mwe(de-2, Apesar-1)
mark(ser-3, de-2)
advcl(tinha-5, ser-3)
acomp(ser-3, italiano-4)
root(ROOT-0, tinha-5)
dobj(tinha-5, cara-6)
adpmod(cara-6, de-7)
adpobj(de-7, brasileiro-8)
cc(cara-6, e-9)
conj(cara-6, cara-10)
adpmod(cara-10, de-11)
nsubj(chama-14, quem-12)
prt(chama-14, se-13)
adpcomp(de-11, chama-14)
attr(chama-14, Dilermando-15)
p(tinha-5, .-16)

root(ROOT-0, Paguei-1)
det(dinheiro-3, um-2)
dobj(Paguei-1, dinheiro-3)
adpmod(dinheiro-3, para-4)
det(dona-6, a-5)
adpobj(para-4, dona-6)
adpmod(dona-6, dele-7)
cc(Paguei-1, e-8)
conj(Paguei-1, levei-9)
dobj(levei-9, Dilermando-10)
adpmod(levei-9, para-11)
adpobj(para-11, casa-12)
p(Paguei-1, .-13)

advmod(dei-2, Logo-1)
root(ROOT-0, dei-2)
dobj(dei-2, comida-3)
adpmod(dei-2, a-4)
adpobj(a-4, ele-5)
p(dei-2, .-6)

nsubj(parecia-2, Ele-1)
root(ROOT-0, parecia-2)
advmod(feliz-4, tão-3)
acomp(parecia-2, feliz-4)
adpmod(ser-7, por-5)
adpobj(por-5, eu-6)
advcl(parecia-2, ser-7)
attr(ser-7, dona-8)
adpmod(dona-8, dele-9)
nsubj(passou-11, que-10)
rcmod(dele-9, passou-11)
det(dia-13, o-12)
dobj(passou-11, dia-13)
amod(dia-13, inteiro-14)
partmod(passou-11, olhando-15)
adpmod(olhando-15, para-16)
adpobj(para-16, mim-17)
cc(ser-7, e-18)
conj(ser-7, abanando-19)
det(rabo-21, o-20)
dobj(abanando-19, rabo-21)
p(parecia-2, .-22)

aux(ver-2, Vai-1)
root(ROOT-0, ver-2)
dep(dona-6, que-3)
det(dona-6, a-4)
det(dona-6, outra-5)
dep(ver-2, dona-6)
adpmod(dona-6, dele-7)
adpobj(dele-7, batia-8)
adpmod(dona-6, nele-9)
adpmod(nele-9, de-10)
adpobj(de-10, modo-11)
mark(estava-14, que-12)
nsubj(estava-14, Dilermando-13)
adpcomp(nele-9, estava-14)
acomp(estava-14, feliz-15)
adpmod(estava-14, em-16)
adpcomp(em-16, mudar-17)
adpmod(mudar-17, de-18)
adpobj(de-18, dona-19)
p(dona-6, .-20)

