nsubj(era-2, Ele-1)
adpobj(pelas-12, coisas-13)
adpmod(coisas-13, da-14)
adpobj(da-14, vida-15)
p(percebera-2, .-16)

cc(ocorrera-4, E-1)
advmod(ocorrera-4, jamais-2)
iobj(ocorrera-4, me-3)
root(ROOT-0, ocorrera-4)
dobj(ocorrera-4, senão-5)
adpmod(senão-5, como-6)
amod(fantasia-8, leve-7)
adpobj(como-6, fantasia-8)
partmod(ocorrera-4, desejar-9)
mark(fosse-13, que-10)
det(mundo-12, o-11)
nsubj(fosse-13, mundo-12)
ccomp(desejar-9, fosse-13)
acomp(fosse-13, diferente-14)
mwe(que-16, do-15)
mark(era-17, que-16)
advcl(fosse-13, era-17)
p(ocorrera-4, .-18)

nsubj(contava-13, Recordei-me-1)
adpmod(Recordei-me-1, de-2)
adpobj(de-2, Jaime-3)
advmod(elogiado-5, sempre-4)
partmod(Recordei-me-1, elogiado-5)
adpmod(elogiado-5, pelo-6)
adpobj(pelo-6, desempenho-7)
adpmod(desempenho-7, de-8)
poss(funções-10, suas-9)
adpobj(de-8, funções-10)
adpmod(Recordei-me-1, como-11)
adpobj(como-11, ele-12)
root(ROOT-0, contava-13)
cc(contava-13, e-14)
conj(contava-13, senti-me-15)
mark(saber-17, sem-16)
advcl(senti-me-15, saber-17)
adpmod(saber-17, por-18)
adpobj(por-18, quê-19)
advmod(segura-21, mais-20)
amod(quê-19, segura-21)
p(contava-13, .-22)

mwe(quando-2, Depois-1)
mark(revi-3, quando-2)
root(ROOT-0, revi-3)
compmod(formalizei-me-5, Daniel-4)
dobj(revi-3, formalizei-me-5)
adpmod(revi-3, numa-6)
adpobj(numa-6, atitude-7)
amod(atitude-7, fria-8)
cc(revi-3, e-9)
conj(revi-3, inútil-10)
mwe(vez-12, uma-11)
mwe(que-13, vez-12)
mark(percebia-17, que-13)
nsubj(percebia-17, ele-14)
advmod(percebia-17, mal-15)
iobj(percebia-17, me-16)
adpcomp(inútil-10, percebia-17)
dobj(percebia-17, colocando-me-18)
advmod(percebia-17, assim-19)
adpmod(percebia-17, ao-20)
adpobj(ao-20, lado-21)
adpmod(lado-21, da-22)
adpobj(da-22, pensão-23)
amod(pensão-23, inteira-24)
adpmod(lado-21, a-25)
adpcomp(a-25, salvo-26)
p(revi-3, .-27)

adpmod(examinando-3, No-1)
adpcomp(No-1, entanto-2)
root(ROOT-0, examinando-3)
dobj(examinando-3, todos-4)
adpmod(examinando-3, por-5)
adpobj(por-5, ocasião-6)
adpmod(ocasião-6, do-7)
adpobj(do-7, jantar-8)
partmod(examinando-3, senti-9)
advmod(senti-9, vagamente-10)
det(vergonha-12, certa-11)
dobj(senti-9, vergonha-12)
adpmod(senti-9, em-13)
adpcomp(em-13, fazer-14)
dobj(fazer-14, parte-15)
adpmod(parte-15, daquele-16)
adpobj(daquele-16, grupo-17)
amod(grupo-17, amorfo-18)
adpmod(grupo-17, de-19)
adpobj(de-19, homens-20)
cc(homens-20, e-21)
conj(homens-20, mulheres-22)
nsubj(apoiavam-28, que-23)
adpmod(apoiavam-28, numa-24)
adpobj(numa-24, combinação-25)
amod(combinação-25, tácita-26)
dobj(apoiavam-28, se-27)
rcmod(homens-20, apoiavam-28)
cc(apoiavam-28, e-29)
prt(esquentavam-31, se-30)
conj(apoiavam-28, esquentavam-31)
acomp(esquentavam-31, unidos-32)
adpmod(unidos-32, contra-33)
adpobj(contra-33, o-34)
nsubj(viesse-37, que-35)
iobj(viesse-37, lhes-36)
rcmod(o-34, viesse-37)
xcomp(viesse-37, perturbar-38)
det(conforto-40, o-39)
dobj(perturbar-38, conforto-40)
p(examinando-3, .-41)

root(ROOT-0, Compreendi-1)
mark(desprezava-5, que-2)
nsubj(desprezava-5, Daniel-3)
dobj(desprezava-5, os-4)
ccomp(Compreendi-1, desprezava-5)
cc(desprezava-5, e-6)
conj(desprezava-5, irritei-me-7)
mark(atingida-12, porque-8)
advmod(atingida-12, também-9)
nsubjpass(atingida-12, eu-10)
auxpass(atingida-12, era-11)
advcl(desprezava-5, atingida-12)
p(Compreendi-1, .-13)

neg(estava-2, Não-1)
root(ROOT-0, estava-2)
acomp(estava-2, habituada-3)
adpmod(habituada-3, a-4)
iobj(demorar-6, me-5)
adpcomp(a-4, demorar-6)
det(tempo-8, muito-7)
dobj(demorar-6, tempo-8)
adpmod(tempo-8, sobre-9)
det(pensamento-11, qualquer-10)
adpobj(sobre-9, pensamento-11)
cc(tempo-8, e-12)
conj(tempo-8, um-13)
amod(um-13, ligeiro-14)
partmod(um-13, mal-estar-15)
mark(apoderou-se-19, como-16)
det(impaciência-18, uma-17)
nsubj(apoderou-se-19, impaciência-18)
advcl(mal-estar-15, apoderou-se-19)
adpmod(apoderou-se-19, de-20)
adpobj(de-20, mim-21)
p(estava-2, .-22)

root(ROOT-0, Desde-1)
adpcomp(Desde-1, então-2)
adpmod(então-2, sem-3)
adpcomp(sem-3, refletir-4)
xcomp(refletir-4, evitava-5)
dobj(evitava-5, Daniel-6)
p(Desde-1, .-7)

root(ROOT-0, Vendo-o-1)
amod(punha-me-3, imperceptivelmente-2)
dobj(Vendo-o-1, punha-me-3)
adpmod(Vendo-o-1, em-4)
adpobj(em-4, guarda-5)
det(olhos-7, os-6)
dobj(Vendo-o-1, olhos-7)
partmod(olhos-7, abertos-8)
dobj(abertos-8, vigilantes-9)
p(Vendo-o-1, .-10)

root(ROOT-0, Parece-me-1)
mark(temia-4, que-2)
nsubj(temia-4, eu-3)
ccomp(Parece-me-1, temia-4)
mark(pronunciasse-7, que-5)
nsubj(pronunciasse-7, ele-6)
ccomp(temia-4, pronunciasse-7)
det(frase-9, alguma-8)
dobj(pronunciasse-7, frase-9)
partmod(frase-9, daquelas-10)
poss(aceitá-las-15, suas-11)
amod(aceitá-las-15, cortantes-12)
cc(cortantes-12, porque-13)
conj(cortantes-12, receava-14)
dobj(daquelas-10, aceitá-las-15)
p(Parece-me-1, .-16)

root(ROOT-0, Forcei-1)
poss(defendendo-me-4, minha-2)
amod(defendendo-me-4, antipatia-3)
nsubj(sei-6, defendendo-me-4)
neg(sei-6, não-5)
ROOT(Forcei-1, sei-6)
adpmod(sei-6, de-7)
adpobj(de-7, quê-8)
partmod(Forcei-1, defendendo-9)
dobj(defendendo-9, papai-10)
appos(papai-10, mamãe-11)
appos(mamãe-11, Jaime-12)
cc(mamãe-11, e-13)
conj(mamãe-11, todos-14)
det(meus-16, os-15)
conj(todos-14, meus-16)
p(meus-16, .-17)

cc(vão-4, Mas-1)
aux(vão-4, foi-2)
adp(vão-4, em-3)
root(ROOT-0, vão-4)
p(vão-4, .-5)

nsubj(era-2, Daniel-1)
root(ROOT-0, era-2)
det(perigo-4, o-3)
attr(era-2, perigo-4)
p(era-2, .-5)

cc(caminhava-5, E-1)
adpmod(caminhava-5, para-2)
adpobj(para-2, ele-3)
nsubj(caminhava-5, eu-4)
root(ROOT-0, caminhava-5)
p(caminhava-5, .-6)

root(ROOT-0, De-1)
det(vez-3, outra-2)
nsubj(vagava-4, vez-3)
adpcomp(De-1, vagava-4)
dobj(vagava-4, eu-5)
adpmod(eu-5, pela-6)
adpobj(pela-6, pensão-7)
amod(pensão-7, vazia-8)
adpmod(vagava-4, às-9)
num(horas-11, duas-10)
adpobj(às-9, horas-11)
adpmod(horas-11, de-12)
det(tarde-14, uma-13)
adpobj(de-12, tarde-14)
amod(tarde-14, chuvosa-15)
mwe(que-17, até-16)
mark(ouvindo-18, que-17)
advcl(dirigi-27, ouvindo-18)
dobj(ouvindo-18, vozes-19)
adpmod(ouvindo-18, na-20)
adpobj(na-20, sala-21)
adpmod(sala-21, de-22)
adpobj(de-22, espera-23)
adpmod(ouvindo-18, para-24)
adpcomp(para-24, lá-25)
dobj(dirigi-27, me-26)
conj(vagava-4, dirigi-27)
p(De-1, .-28)

nsubj(conversava-2, Ele-1)
root(ROOT-0, conversava-2)
adpmod(conversava-2, com-3)
det(homem-5, um-4)
adpobj(com-3, homem-5)
amod(homem-5, magro-6)
partmod(homem-5, vestido-7)
adpmod(vestido-7, de-8)
adpobj(de-8, preto-9)
p(conversava-2, .-10)

det(fumavam-3, Os-1)
num(fumavam-3, dois-2)
nsubj(falando-4, fumavam-3)
root(ROOT-0, falando-4)
adpmod(falando-4, sem-5)
adpobj(sem-5, pressa-6)
amod(pressa-6, envoltos-7)
adpmod(falando-4, nos-8)
poss(pensamentos-10, seus-9)
adpobj(nos-8, pensamentos-10)
adpmod(pensamentos-10, a-11)
det(ponto-13, tal-12)
adpobj(a-11, ponto-13)
nsubj(viram-17, que-14)
neg(viram-17, nem-15)
dobj(viram-17, me-16)
rcmod(ponto-13, viram-17)
xcomp(viram-17, entrar-18)
p(falando-4, .-19)

nsubj(retirar-me-2, Ia-1)
root(ROOT-0, retirar-me-2)
cc(retirar-me-2, mas-3)
det(curiosidade-5, uma-4)
nsubj(prendeu-8, curiosidade-5)
amod(curiosidade-5, súbita-6)
dobj(prendeu-8, me-7)
conj(retirar-me-2, prendeu-8)
cc(retirar-me-2, e-9)
conj(retirar-me-2, conduziu-me-10)
adpmod(conduziu-me-10, a-11)
det(afastada-14, uma-12)
amod(afastada-14, poltrona-13)
adpobj(a-11, afastada-14)
adpmod(ocupavam-18, das-15)
adpobj(das-15, que-16)
nsubj(ocupavam-18, eles-17)
rcmod(afastada-14, ocupavam-18)
p(retirar-me-2, .-19)

advmod(refleti-2, Afinal-1)
root(ROOT-0, refleti-2)
partmod(refleti-2, desculpando-me-3)
det(sala-5, a-4)
nsubj(pertencia-6, sala-5)
xcomp(desculpando-me-3, pertencia-6)
adpmod(pertencia-6, aos-7)
adpobj(aos-7, hóspedes-8)
p(refleti-2, .-9)

root(ROOT-0, Procurei-1)
neg(fazer-3, não-2)
xcomp(Procurei-1, fazer-3)
det(ruído-5, qualquer-4)
dobj(fazer-3, ruído-5)
p(Procurei-1, .-6)

root(ROOT-0, Nos-1)
amod(momentos-3, primeiros-2)
adpobj(Nos-1, momentos-3)
adpmod(momentos-3, para-4)
poss(espanto-6, meu-5)
adpobj(para-4, espanto-6)
dobj(compreendi-8, nada-7)
rcmod(espanto-6, compreendi-8)
adpmod(compreendi-8, do-9)
nsubj(falavam-11, que-10)
rcmod(do-9, falavam-11)
p(Nos-1, .-12)

advmod(distingui-2, Gradualmente-1)
root(ROOT-0, distingui-2)
det(palavras-4, algumas-3)
dobj(distingui-2, palavras-4)
amod(palavras-4, conhecidas-5)
adpmod(palavras-4, entre-6)
adpobj(entre-6, outras-7)
dobj(ouvira-11, que-8)
nsubj(ouvira-11, eu-9)
advmod(ouvira-11, jamais-10)
rcmod(outras-7, ouvira-11)
dobj(ouvira-11, pronunciadas-12)
p(pronunciadas-12, :-13)
appos(pronunciadas-12, termos-14)
adpmod(termos-14, de-15)
adpobj(de-15, livros-16)
p(distingui-2, .-17)

det(universalidade-2, A-1)
root(ROOT-0, universalidade-2)
adpmod(universalidade-2, de-3)
p(universalidade-2, .-4)

det(sentido-2, o-1)
root(ROOT-0, sentido-2)
amod(sentido-2, abstrato-3)
appos(sentido-2, que-4)
p(que-4, .-5)

root(ROOT-0, É-1)
acomp(É-1, preciso-2)
csubj(É-1, saber-3)
mark(assistira-7, que-4)
nsubj(assistira-7, eu-5)
advmod(assistira-7, nunca-6)
ccomp(saber-3, assistira-7)
det(palestras-9, a-8)
dobj(assistira-7, palestras-9)
advmod(versasse-14, onde-10)
det(assunto-12, o-11)
nsubj(versasse-14, assunto-12)
neg(versasse-14, não-13)
rcmod(palestras-9, versasse-14)
adpmod(versasse-14, sobre-15)
adpobj(sobre-15, coisas-16)
cc(coisas-16, e-17)
conj(coisas-16, histórias-18)
p(É-1, .-19)

nsubj(mesma-2, Eu-1)
nsubj(pensava-10, mesma-2)
adpmod(mesma-2, com-3)
det(imaginação-5, pouca-4)
adpobj(com-3, imaginação-5)
cc(imaginação-5, e-6)
det(inteligência-8, pouca-7)
conj(imaginação-5, inteligência-8)
neg(pensava-10, não-9)
root(ROOT-0, pensava-10)
dobj(pensava-10, senão-11)
adpmod(senão-11, de-12)
adpobj(de-12, acordo-13)
adpmod(acordo-13, com-14)
poss(realidade-17, minha-15)
amod(realidade-17, estreita-16)
adpobj(com-14, realidade-17)
p(pensava-10, .-18)

poss(palavras-2, Suas-1)
nsubj(deslizavam-3, palavras-2)
root(ROOT-0, deslizavam-3)
adpmod(deslizavam-3, sobre-4)
adpobj(sobre-4, mim-5)
adpmod(deslizavam-3, sem-6)
dobj(penetrar-8, me-7)
adpcomp(sem-6, penetrar-8)
p(deslizavam-3, .-9)

adpmod(adivinhei-3, No-1)
adpcomp(No-1, entanto-2)
root(ROOT-0, adivinhei-3)
advmod(incomodada-5, singularmente-4)
amod(escondiam-7, incomodada-5)
nsubj(escondiam-7, elas-6)
ccomp(adivinhei-3, escondiam-7)
det(harmonia-9, uma-8)
dobj(escondiam-7, harmonia-9)
amod(harmonia-9, própria-10)
dobj(conseguia-14, que-11)
nsubj(conseguia-14, eu-12)
neg(conseguia-14, não-13)
rcmod(harmonia-9, conseguia-14)
xcomp(conseguia-14, captar-15)
p(adivinhei-3, .-16)

root(ROOT-0, Tentava-1)
neg(me-3, não-2)
dobj(distrair-4, me-3)
csubj(Tentava-1, distrair-4)
mark(perder-7, para-5)
neg(perder-7, não-6)
advcl(distrair-4, perder-7)
adpmod(perder-7, da-8)
adpobj(da-8, conversa-9)
amod(conversa-9, mágica-10)
p(Tentava-1, .-11)

p(realizações-3, --1)
det(realizações-3, As-2)
nsubj(matam-4, realizações-3)
root(ROOT-0, matam-4)
dobj(desejo-6, o-5)
ccomp(disse-8, desejo-6)
p(disse-8, --7)
partmod(matam-4, disse-8)
nsubj(disse-8, Daniel-9)
p(matam-4, .-10)

det(realizações-2, As-1)
nsubj(matam-3, realizações-2)
root(ROOT-0, matam-3)
nsubj(desejo-5, o-4)
ccomp(matam-3, desejo-5)
det(realizações-7, as-6)
nsubj(matam-8, realizações-7)
xcomp(desejo-5, matam-8)
det(desejo-10, o-9)
nsubj(repetia-me-11, desejo-10)
xcomp(matam-8, repetia-me-11)
dobj(repetia-me-11, eu-12)
det(pouco-14, um-13)
appos(eu-12, pouco-14)
amod(pouco-14, deslumbrada-15)
p(matam-3, .-16)

root(ROOT-0, Perdia-me-1)
adpmod(Perdia-me-1, deles-2)
cc(Perdia-me-1, e-3)
mark(voltava-5, quando-4)
conj(Perdia-me-1, voltava-5)
adpmod(voltava-5, a-6)
adpcomp(a-6, prestar-7)
dobj(prestar-7, atenção-8)
advmod(frase-11, já-9)
det(frase-11, outra-10)
dobj(prestar-7, frase-11)
amod(frase-11, misteriosa-12)
cc(misteriosa-12, e-13)
conj(misteriosa-12, brilhante-14)
appos(frase-11, nascera-15)
partmod(nascera-15, perturbando-me-16)
p(Perdia-me-1, .-17)

advmod(falava-3, Agora-1)
nsubj(falava-3, Daniel-2)
root(ROOT-0, falava-3)
adpmod(falava-3, de-4)
adpobj(de-4, si-5)
amod(si-5, mesmo-6)
p(falava-3, .-7)

p(sentir-8, --1)
nsubj(sentir-8, O-2)
nsubj(interessava-5, que-3)
dobj(interessava-5, me-4)
rcmod(O-2, interessava-5)
advmod(interessava-5, sobretudo-6)
aux(sentir-8, é-7)
root(ROOT-0, sentir-8)
xcomp(sentir-8, acumular-9)
dobj(acumular-9, desejos-10)
amod(desejos-10, encher-me-11)
adpmod(desejos-10, de-12)
adpobj(de-12, mim-13)
advmod(acumular-9, mesmo-14)
p(sentir-8, .-15)

det(realização-2, A-1)
root(ROOT-0, realização-2)
partmod(realização-2, abre-me-3)
dobj(abre-me-3, deixa-me-4)
amod(deixa-me-4, vazio-5)
cc(vazio-5, e-6)
conj(vazio-5, saciado-7)
p(realização-2, .-8)

p(há-3, --1)
neg(há-3, Não-2)
ccomp(disse-6, há-3)
dobj(há-3, saciedade-4)
p(há-3, --5)
root(ROOT-0, disse-6)
det(outro-8, o-7)
nsubj(disse-6, outro-8)
adpmod(outro-8, entre-9)
det(baforadas-11, as-10)
adpobj(entre-9, baforadas-11)
adpmod(baforadas-11, de-12)
poss(cigarro-14, seu-13)
adpobj(de-12, cigarro-14)
p(disse-6, .-15)

p(Há-2, --1)
root(ROOT-0, Há-2)
adpmod(Há-2, de-3)
amod(insatisfação-6, novo-4)
det(insatisfação-6, a-5)
adpobj(de-3, insatisfação-6)
partmod(Há-2, criando-7)
det(desejo-9, outro-8)
dobj(criando-7, desejo-9)
dobj(procuraria-14, que-10)
det(homem-12, um-11)
nsubj(procuraria-14, homem-12)
amod(homem-12, normal-13)
rcmod(desejo-9, procuraria-14)
xcomp(procuraria-14, realizar-15)
p(Há-2, .-16)

nsubj(justifica-2, Você-1)
root(ROOT-0, justifica-2)
poss(inutilidade-4, sua-3)
dobj(justifica-2, inutilidade-4)
adpmod(justifica-2, com-5)
det(teoria-7, uma-6)
adpobj(com-5, teoria-7)
appos(teoria-7, qualquer-8)
p(justifica-2, .-9)

nsubj(sentir-5, O-1)
nsubj(importa-3, que-2)
rcmod(O-1, importa-3)
aux(sentir-5, é-4)
root(ROOT-0, sentir-5)
cc(sentir-5, e-6)
neg(fazer-8, não-7)
conj(sentir-5, fazer-8)
p(sentir-5, .-9)

root(ROOT-0, Desculpa-1)
p(Desculpa-1, .-2)

nsubj(fracassou-2, Você-1)
root(ROOT-0, fracassou-2)
cc(fracassou-2, e-3)
advmod(consegue-5, só-4)
conj(fracassou-2, consegue-5)
dobj(afirmar-7, se-6)
xcomp(consegue-5, afirmar-7)
adpmod(afirmar-7, por-8)
adpobj(por-8, meio-9)
adpmod(meio-9, da-10)
adpobj(da-10, imaginação-11)
p(fracassou-2, .-12)

root(ROOT-0, Eu-1)
det(escutava-3, os-2)
appos(Eu-1, escutava-3)
amod(escutava-3, estarrecida-4)
p(Eu-1, .-5)

root(ROOT-0, Surpreendia-me-1)
neg(só-3, não-2)
advmod(Surpreendia-me-1, só-3)
det(conversa-5, a-4)
dobj(Surpreendia-me-1, conversa-5)
adpmod(conversa-5, como-6)
det(plano-8, o-7)
adpobj(como-6, plano-8)
adpmod(apoiava-13, em-9)
adpobj(em-9, que-10)
nsubj(apoiava-13, ela-11)
prt(apoiava-13, se-12)
rcmod(plano-8, apoiava-13)
det(coisa-15, qualquer-14)
dobj(apoiava-13, coisa-15)
advmod(apoiava-13, longe-16)
adpmod(longe-16, da-17)
adpobj(da-17, verdade-18)
adpmod(verdade-18, de-19)
det(dias-22, todos-20)
det(dias-22, os-21)
adpobj(de-19, dias-22)
cc(conversa-5, mas-23)
amod(melódica-25, misteriosamente-24)
conj(conversa-5, melódica-25)
partmod(conversa-5, tocando-26)
xcomp(tocando-26, adivinhava-27)
adpmod(adivinhava-27, em-28)
det(verdades-30, outras-29)
adpobj(em-28, verdades-30)
partmod(adivinhava-27, desconhecidas-31)
adpmod(desconhecidas-31, para-32)
adpobj(para-32, mim-33)
p(Surpreendia-me-1, .-34)

cc(surpreendia-me-2, E-1)
root(ROOT-0, surpreendia-me-2)
advmod(surpreendia-me-2, também-3)
nsubj(atacarem-6, vê-los-4)
dobj(atacarem-6, se-5)
partmod(surpreendia-me-2, atacarem-6)
adpmod(atacarem-6, com-7)
adpobj(com-7, palavras-8)
advmod(amáveis-10, pouco-9)
amod(palavras-8, amáveis-10)
nsubj(ofenderiam-12, que-11)
rcmod(palavras-8, ofenderiam-12)
det(pessoa-15, qualquer-13)
det(pessoa-15, outra-14)
dobj(ofenderiam-12, pessoa-15)
cc(pessoa-15, mas-16)
nsubj(eram-18, que-17)
rcmod(pessoa-15, eram-18)
adpmod(eram-18, por-19)
adpobj(por-19, eles-20)
partmod(eles-20, recebidas-21)
adpmod(recebidas-21, sem-22)
adpobj(sem-22, atenção-23)
adpmod(atenção-23, como-24)
adpobj(como-24, se-25)
p(surpreendia-me-2, .-26)

root(ROOT-0, como-1)
mark(soubessem-4, se-2)
neg(soubessem-4, não-3)
adpcomp(como-1, soubessem-4)
dobj(soubessem-4, o-5)
nsubj(significava-7, que-6)
rcmod(o-5, significava-7)
dobj(significava-7, honra-8)
adpmod(significava-7, por-9)
adpobj(por-9, exemplo-10)
p(como-1, .-11)

cc(adormecida-10, E-1)
advmod(pela-3, sobretudo-2)
adpmod(adormecida-10, pela-3)
amod(vez-5, primeira-4)
adpobj(pela-3, vez-5)
nsubj(adormecida-10, eu-6)
adpmod(eu-6, até-7)
advmod(profundamente-9, então-8)
adpcomp(até-7, profundamente-9)
root(ROOT-0, adormecida-10)
partmod(adormecida-10, vislumbrava-11)
det(ideias-13, as-12)
dobj(vislumbrava-11, ideias-13)
p(adormecida-10, .-14)

det(inquietação-2, A-1)
root(ROOT-0, inquietação-2)
adpmod(inquietação-2, que-3)
det(conversas-6, as-4)
amod(conversas-6, primeiras-5)
appos(que-3, conversas-6)
adpmod(conversas-6, com-7)
nsubj(produziram-10, Daniel-8)
dobj(produziram-10, me-9)
adpcomp(com-7, produziram-10)
partmod(produziram-10, nascia-11)
advmod(nascia-11, como-12)
adpmod(como-12, de-13)
det(certeza-15, uma-14)
adpobj(de-13, certeza-15)
adpmod(certeza-15, de-16)
adpobj(de-16, perigo-17)
p(inquietação-2, .-18)

det(dia-2, Um-1)
nmod(explicar-lhe-5, dia-2)
aux(explicar-lhe-5, cheguei-3)
adp(explicar-lhe-5, a-4)
root(ROOT-0, explicar-lhe-5)
mark(ligavam-12, que-6)
adpmod(ligavam-12, ao-7)
adpobj(ao-7, pensamento-8)
adpmod(pensamento-8, desse-9)
adpobj(desse-9, perigo-10)
prt(ligavam-12, se-11)
ccomp(explicar-lhe-5, ligavam-12)
dobj(ligavam-12, expressões-13)
partmod(expressões-13, lidas-14)
adpmod(lidas-14, em-15)
adpobj(em-15, livros-16)
adpmod(lidas-14, com-17)
det(atenção-20, a-18)
det(atenção-20, pouca-19)
adpobj(com-17, atenção-20)
dobj(concedia-24, que-21)
nsubj(concedia-24, eu-22)
advmod(concedia-24, geralmente-23)
rcmod(atenção-20, concedia-24)
adpmod(concedia-24, a-25)
adpobj(a-25, tudo-26)
cc(ligavam-12, e-27)
mark(luziam-31, que-28)
advmod(luziam-31, agora-29)
dobj(luziam-31, me-30)
conj(ligavam-12, luziam-31)
adpmod(luziam-31, na-32)
adpobj(na-32, memória-33)
p(memória-33, :-34)
appos(memória-33, fruto-35)
adpmod(fruto-35, do-36)
adpobj(do-36, mal-37)
p(explicar-lhe-5, .-38)

mark(disse-me-3, Quando-1)
nsubj(disse-me-3, Daniel-2)
root(ROOT-0, disse-me-3)
mark(falava-6, que-4)
nsubj(falava-6, eu-5)
ccomp(disse-me-3, falava-6)
adpmod(falava-6, da-7)
compmod(tomei-me-9, Biblia-8)
adpobj(da-7, tomei-me-9)
adpmod(tomei-me-9, do-10)
adpobj(do-10, terror-11)
adpmod(terror-11, de-12)
adpobj(de-12, Deus-13)
amod(Deus-13, mesclado-14)
adpmod(falava-6, no-15)
adpcomp(no-15, entanto-16)
adpmod(falava-6, a-17)
det(curiosidade-19, uma-18)
adpobj(a-17, curiosidade-19)
amod(curiosidade-19, forte-20)
cc(forte-20, e-21)
conj(forte-20, vergonhosa-22)
adpmod(curiosidade-19, como-23)
adpobj(como-23, a-24)
adpmod(a-24, de-25)
det(vício-27, um-26)
adpobj(de-25, vício-27)
p(disse-me-3, .-28)

adpmod(é-7, Por-1)
adpobj(Por-1, isso-2)
dep(é-7, tudo-3)
det(história-6, a-4)
poss(história-6, minha-5)
nsubj(é-7, história-6)
root(ROOT-0, é-7)
acomp(é-7, difícil-8)
adpmod(difícil-8, de-9)
adpcomp(de-9, ser-10)
acomp(ser-10, elucidada-11)
partmod(elucidada-11, separada-12)
adpmod(separada-12, em-13)
poss(elementos-15, seus-14)
adpobj(em-13, elementos-15)
p(é-7, .-16)

adpmod(foi-3, Até-1)
adpcomp(Até-1, onde-2)
root(ROOT-0, foi-3)
det(sentimento-6, o-4)
poss(sentimento-6, meu-5)
nsubj(foi-3, sentimento-6)
adpmod(sentimento-6, por-7)
compmod(uso-9, Daniel-8)
adpobj(por-7, uso-9)
det(termo-11, esse-10)
appos(sentimento-6, termo-11)
amod(termo-11, geral-12)
mark(saber-15, por-13)
neg(saber-15, não-14)
advcl(era-18, saber-15)
advmod(saber-15, exatamente-16)
attr(era-18, qual-17)
rcmod(termo-11, era-18)
det(conteúdo-21, o-19)
poss(conteúdo-21, seu-20)
nsubj(era-18, conteúdo-21)
cc(conteúdo-21, e-22)
advmod(começava-24, onde-23)
conj(conteúdo-21, começava-24)
det(despertar-27, o-25)
poss(despertar-27, meu-26)
dobj(começava-24, despertar-27)
adpmod(despertar-27, para-28)
det(mundo-30, o-29)
adpobj(para-28, mundo-30)
p(foi-3, ?-31)

nsubj(entrelaçou-3, Tudo-1)
prt(entrelaçou-3, se-2)
root(ROOT-0, entrelaçou-3)
partmod(entrelaçou-3, confundiu-se-4)
advmod(confundiu-se-4, dentro-5)
adpmod(dentro-5, de-6)
adpobj(de-6, mim-7)
cc(confundiu-se-4, e-8)
nsubj(saberia-11, eu-9)
neg(saberia-11, não-10)
conj(confundiu-se-4, saberia-11)
xcomp(saberia-11, precisar-12)
mark(era-16, se-13)
poss(desassossego-15, meu-14)
nsubj(era-16, desassossego-15)
ccomp(precisar-12, era-16)
det(desejo-18, o-17)
attr(era-16, desejo-18)
adpmod(desejo-18, de-19)
adpobj(de-19, Daniel-20)
cc(Daniel-20, ou-21)
det(ânsia-23, a-22)
conj(Daniel-20, ânsia-23)
adpmod(Daniel-20, de-24)
adpcomp(de-24, procurar-25)
det(mundo-28, o-26)
amod(mundo-28, novo-27)
dobj(procurar-25, mundo-28)
amod(mundo-28, descoberto-29)
p(entrelaçou-3, .-30)

mark(despertei-2, Porque-1)
root(ROOT-0, despertei-2)
advmod(mulher-4, simultaneamente-3)
acomp(despertei-2, mulher-4)
cc(mulher-4, e-5)
conj(mulher-4, humana-6)
p(despertei-2, .-7)

advmod(agido-4, Talvez-1)
nsubj(agido-4, Daniel-2)
aux(agido-4, tenha-3)
root(ROOT-0, agido-4)
advmod(agido-4, apenas-5)
mark(fosse-11, como-6)
nsubj(fosse-11, instrumento-7)
advmod(fosse-11, talvez-8)
poss(destino-10, meu-9)
nsubj(fosse-11, destino-10)
advcl(agido-4, fosse-11)
advmod(fosse-11, mesmo-12)
attr(fosse-11, o-13)
nsubj(segui-15, que-14)
rcmod(o-13, segui-15)
det(destinos-17, o-16)
dobj(segui-15, destinos-17)
adpmod(destinos-17, dos-18)
adpcomp(dos-18, soltos-19)
adpmod(soltos-19, na-20)
adpobj(na-20, terra-21)
adpmod(terra-21, dos-22)
nsubj(medem-25, que-23)
neg(medem-25, não-24)
rcmod(dos-22, medem-25)
poss(ações-27, suas-26)
dobj(medem-25, ações-27)
adpmod(ações-27, pelo-28)
adpobj(pelo-28, Bem-29)
cc(pelo-28, e-30)
adpmod(descobrisse-39, pelo-31)
adpobj(pelo-31, Mal-32)
advmod(descobrisse-39, talvez-33)
nsubj(descobrisse-39, eu-34)
advmod(sem-36, mesmo-35)
adpmod(descobrisse-39, sem-36)
adpobj(sem-36, ele-37)
iobj(descobrisse-39, me-38)
conj(pelo-28, descobrisse-39)
det(dia-41, um-40)
dobj(descobrisse-39, dia-41)
advmod(mesmo-43, talvez-42)
advmod(sem-44, mesmo-43)
adpmod(dia-41, sem-44)
nsubj(fugisse-46, ele-45)
adpcomp(sem-44, fugisse-46)
adpmod(fugisse-46, de-47)
adpobj(de-47, Jaime-48)
cc(sem-44, e-49)
conj(sem-44, de-50)
poss(terra-52, sua-51)
adpobj(de-50, terra-52)
p(agido-4, .-53)

mark(sei-2, Que-1)
