det(apito-2, O-1)
p(pulou-7, .-17)

mark(sentiu-2, Quando-1)
advcl(abriu-8, sentiu-2)
det(picada-5, a-3)
amod(picada-5, primeira-4)
nsubj(abriu-8, picada-5)
adpmod(picada-5, da-6)
adpobj(da-6, cobra-7)
root(ROOT-0, abriu-8)
det(litro-10, o-9)
dobj(abriu-8, litro-10)
cc(abriu-8, e-11)
det(bebeu-13, o-12)
conj(abriu-8, bebeu-13)
amod(bebeu-13, todo-14)
p(abriu-8, .-15)

root(ROOT-0, No-1)
adpobj(No-1, outro-2)
appos(outro-2, dia-3)
mark(passaram-7, quando-4)
det(homens-6, os-5)
nsubj(passaram-7, homens-6)
advcl(No-1, passaram-7)
adpmod(passaram-7, para-8)
det(trabalho-10, o-9)
adpobj(para-8, trabalho-10)
adpmod(trabalho-10, nas-11)
adpobj(nas-11, roças-12)
xcomp(passaram-7, encontraram-13)
dobj(encontraram-13, José-14)
adpmod(José-14, da-15)
adpobj(da-15, Tararanga-16)
nsubj(dormia-18, que-17)
rcmod(José-14, dormia-18)
det(surucucu-20, a-19)
dobj(dormia-18, surucucu-20)
partmod(encontraram-13, dormindo-21)
advmod(enroscada-23, também-22)
partmod(dormindo-21, enroscada-23)
adpmod(enroscada-23, no-24)
poss(peito-26, seu-25)
adpobj(no-24, peito-26)
p(No-1, .-27)

partmod(tinha-7, Mataram-1)
det(cobra-3, a-2)
nsubj(tinha-7, cobra-3)
appos(cobra-3, José-4)
adpmod(José-4, da-5)
adpobj(da-5, Tararanga-6)
root(ROOT-0, tinha-7)
dobj(tinha-7, dezessete-8)
amod(dezessete-8, picadas-9)
cc(tinha-7, mas-10)
nsubj(aconteceu-13, nada-11)
nsubj(aconteceu-13, lhe-12)
conj(tinha-7, aconteceu-13)
mwe(causa-15, por-14)
mwe(da-16, causa-15)
adpmod(aconteceu-13, da-16)
adpobj(da-16, cachaça-17)
p(tinha-7, .-18)

det(álcool-2, O-1)
nsubj(diluiu-3, álcool-2)
root(ROOT-0, diluiu-3)
det(veneno-5, o-4)
nsubj(ficou-13, veneno-5)
mwe(que-7, só-6)
mark(inchou-9, que-7)
nsubj(inchou-9, José-8)
advcl(ficou-13, inchou-9)
adpmod(inchou-9, durante-10)
num(dias-12, quinze-11)
adpobj(durante-10, dias-12)
parataxis(diluiu-3, ficou-13)
adpmod(ficou-13, do-14)
adpobj(do-14, tamanho-15)
adpmod(tamanho-15, de-16)
det(cavalo-18, um-17)
adpobj(de-16, cavalo-18)
advmod(ficando-21, depois-19)
auxpass(ficando-21, foi-20)
ccomp(diluiu-3, ficando-21)
csubjpass(ficando-21, são-22)
p(diluiu-3, .-23)

root(ROOT-0, Contaram-1)
advmod(Contaram-1, também-2)
adpmod(Contaram-1, de-3)
adpobj(de-3, homens-4)
amod(homens-4, curados-5)
adpmod(homens-4, de-6)
adpobj(de-6, cobra-7)
nsubj(pegavam-10, que-8)
dobj(pegavam-10, as-9)
rcmod(Contaram-1, pegavam-10)
adpmod(pegavam-10, pelas-11)
adpobj(pelas-11, estradas-12)
adpmod(pegavam-10, sem-13)
mark(fizessem-17, que-14)
dobj(fizessem-17, elas-15)
nsubj(fizessem-17, nada-16)
adpcomp(sem-13, fizessem-17)
p(Contaram-1, .-18)

nsubj(morava-5, Bem-1)
advmod(Bem-1, próximo-2)
adpmod(próximo-2, da-3)
adpobj(da-3, fazenda-4)
root(ROOT-0, morava-5)
dobj(morava-5, Agostinho-6)
nsubj(era-8, que-7)
rcmod(Agostinho-6, era-8)
acomp(era-8, curado-9)
nsubj(fazia-13, cobra-10)
neg(fazia-13, não-11)
iobj(fazia-13, lhe-12)
csubj(era-8, fazia-13)
advmod(fazia-13, mal-14)
cc(fazia-13, e-15)
conj(fazia-13, ele-16)
advmod(divertir-20, só-17)
mark(divertir-20, para-18)
dobj(divertir-20, se-19)
infmod(ele-16, divertir-20)
xcomp(divertir-20, entregava-21)
det(braço-23, o-22)
dobj(entregava-21, braço-23)
adpmod(entregava-21, pra-24)
adpobj(pra-24, elas-25)
partmod(divertir-20, morderem-26)
p(morava-5, .-27)

compmod(mulher-2, Joana-1)
nsubj(contou-11, mulher-2)
adpmod(mulher-2, do-3)
adpobj(do-3, tropeiro-4)
nsubj(bebia-6, que-5)
rcmod(tropeiro-4, bebia-6)
adpmod(bebia-6, como-7)
adpobj(como-7, qualquer-8)
adpmod(qualquer-8, dos-9)
adpobj(dos-9, homens-10)
root(ROOT-0, contou-11)
mark(vivera-19, que-12)
adpmod(vivera-19, numa-13)
adpobj(numa-13, fazenda-14)
adpmod(fazenda-14, do-15)
adpobj(do-15, sertão-16)
advmod(vivera-19, onde-17)
nsubj(vivera-19, ela-18)
ccomp(contou-11, vivera-19)
mwe(de-21, antes-20)
mark(vir-22, de-21)
advcl(vivera-19, vir-22)
adpmod(vir-22, para-23)
det(terras-25, essas-24)
adpobj(para-23, terras-25)
adpmod(terras-25, do-26)
adpobj(do-26, sul-27)
partmod(vir-22, sucedera-28)
det(história-30, uma-29)
dobj(sucedera-28, história-30)
amod(história-30, triste-31)
p(contou-11, .-32)

nsubj(cobra-2, Certa-1)
root(ROOT-0, cobra-2)
dobj(cobra-2, penetrara-3)
adpmod(cobra-2, na-4)
adpobj(na-4, casa-grande-5)
partmod(cobra-2, ande-6)
det(senhores-8, os-7)
nsubj(estavam-9, senhores-8)
ccomp(ande-6, estavam-9)
det(passeio-11, a-10)
dobj(estavam-9, passeio-11)
p(cobra-2, .-12)

root(ROOT-0, Vinham-1)
advmod(Vinham-1, sempre-2)
adpmod(Vinham-1, no-3)
adpobj(no-3, fim-4)
adpmod(fim-4, do-5)
adpobj(do-5, ano-6)
cc(no-3, e-7)
conj(no-3, desta-8)
adpobj(desta-8, vez-9)
aux(felizes-11, vinham-10)
xcomp(Vinham-1, felizes-11)
mark(nascido-14, pois-12)
aux(nascido-14, havia-13)
advcl(felizes-11, nascido-14)
det(criança-16, uma-15)
dobj(nascido-14, criança-16)
p(Vinham-1, .-17)

cc(entrara-4, Mas-1)
det(cobra-3, a-2)
nsubj(entrara-4, cobra-3)
root(ROOT-0, entrara-4)
cc(entrara-4, e-5)
advmod(aninhar-8, fora-6)
dobj(aninhar-8, se-7)
conj(entrara-4, aninhar-8)
adpmod(aninhar-8, no-9)
adpobj(no-9, berço-10)
adpmod(berço-10, da-11)
adpobj(da-11, criança-12)
nsubj(era-14, que-13)
rcmod(criança-12, era-14)
det(primeira-16, a-15)
attr(era-14, primeira-16)
adpmod(primeira-16, dos-17)
adpobj(dos-17, senhores-18)
amod(senhores-18, casados-19)
advcl(entrara-4, há-20)
advmod(mais-22, pouco-21)
advmod(um-24, mais-22)
adp(mais-22, de-23)
num(ano-25, um-24)
nmod(há-20, ano-25)
p(entrara-4, .-26)

det(criança-2, A-1)
nsubj(chorava-3, criança-2)
root(ROOT-0, chorava-3)
adpmod(chorava-3, pelo-4)
adpobj(pelo-4, seio-5)
amod(seio-5, materno-6)
cc(chorava-3, e-7)
conj(chorava-3, tomou-8)
adpmod(tomou-8, do-9)
adpobj(do-9, rabo-10)
adpmod(rabo-10, da-11)
adpobj(da-11, cobra-12)
adpmod(tomou-8, na-13)
poss(inocência-15, sua-14)
adpobj(na-13, inocência-15)
p(chorava-3, .-16)

adpmod(tinha-4, No-1)
det(dia-3, outro-2)
adpobj(No-1, dia-3)
root(ROOT-0, tinha-4)
adpmod(tinha-4, na-5)
adpobj(na-5, boca-6)
det(rabo-8, o-7)
dobj(tinha-4, rabo-8)
adpmod(rabo-8, da-9)
adpobj(da-9, jararaca-10)
nsubj(dormia-12, que-11)
rcmod(jararaca-10, dormia-12)
cc(dormia-12, mas-13)
advmod(mamava-16, já-14)
neg(mamava-16, não-15)
conj(dormia-12, mamava-16)
mark(agira-20, porque-17)
det(veneno-19, o-18)
nsubj(agira-20, veneno-19)
advcl(dormia-12, agira-20)
advmod(agira-20, logo-21)
p(tinha-4, .-22)

det(senhora-2, A-1)
nsubj(saíra-3, senhora-2)
root(ROOT-0, saíra-3)
adpmod(saíra-3, pelos-4)
adpobj(pelos-4, campos-5)
det(cabelos-7, os-6)
dobj(saíra-3, cabelos-7)
adpmod(cabelos-7, de-8)
adpobj(de-8, oiro-9)
amod(oiro-9, soltos-10)
adpmod(soltos-10, ao-11)
adpobj(ao-11, vento-12)
det(pés-14, os-13)
appos(cabelos-7, pés-14)
amod(pés-14, nus-15)
cc(pés-14, e-16)
conj(pés-14, alvos-17)
adpmod(pés-14, como-18)
nsubj(vira-21, Joana-19)
advmod(vira-21, nunca-20)
adpcomp(como-18, vira-21)
acomp(vira-21, iguais-22)
dobj(vira-21, pisando-23)
det(espinhos-25, os-24)
dobj(pisando-23, espinhos-25)
cc(pisando-23, e-26)
conj(pisando-23, dizem-27)
mark(voltara-31, que-28)
advmod(mais-30, nunca-29)
advmod(voltara-31, mais-30)
ccomp(dizem-27, voltara-31)
det(ser-33, a-32)
dobj(voltara-31, ser-33)
amod(ser-33, perfeita-34)
adpmod(ser-33, da-35)
adpobj(da-35, cabeça-36)
nsubj(ficara-38, que-37)
rcmod(cabeça-36, ficara-38)
dobj(ficara-38, idiota-39)
cc(idiota-39, e-40)
conj(idiota-39, enfeara-41)
partmod(ser-33, perdera-42)
det(lindeza-45, toda-43)
det(lindeza-45, aquela-44)
dobj(perdera-42, lindeza-45)
adpmod(lindeza-45, de-46)
adpobj(de-46, rosto-47)
cc(de-46, e-48)
conj(de-46, de-49)
adpobj(de-49, corpo-50)
p(saíra-3, .-51)

advmod(parecia-2, Antes-1)
root(ROOT-0, parecia-2)
dobj(parecia-2, uma-3)
adpmod(uma-3, destas-4)
adpobj(destas-4, bonecas-5)
amod(bonecas-5, estrangeiras-6)
mwe(do-8, depois-7)
mark(ficara-10, do-8)
nsubj(ficara-10, acontecido-9)
conj(uma-3, ficara-10)
mwe(nem-12, que-11)
advmod(ficara-10, nem-12)
det(bruxa-14, uma-13)
nsubj(nem-12, bruxa-14)
adpmod(bruxa-14, de-15)
adpobj(de-15, pano-16)
p(nem-12, .-17)

det(casagrande-2, A-1)
nsubj(fechou-4, casagrande-2)
dobj(fechou-4, se-3)
root(ROOT-0, fechou-4)
mark(voltaram-11, para-5)
advmod(mais-8, sempre-6)
advmod(mais-8, nunca-7)
advmod(voltaram-11, mais-8)
det(senhores-10, as-9)
nsubj(voltaram-11, senhores-10)
advcl(fechou-4, voltaram-11)
det(hera-13, a-12)
nsubj(cresceu-14, hera-13)
ccomp(voltaram-11, cresceu-14)
adpmod(cresceu-14, pelas-15)
adpobj(pelas-15, varandas-16)
det(capim-18, o-17)
nsubj(invadiu-19, capim-18)
conj(cresceu-14, invadiu-19)
det(cozinha-21, a-20)
dobj(invadiu-19, cozinha-21)
cc(fechou-4, e-22)
conj(fechou-4, os-23)
nsubj(passam-25, que-24)
rcmod(os-23, passam-25)
advmod(ouvem-27, perto-26)
partmod(passam-25, ouvem-27)
advmod(ouvem-27, hoje-28)
det(pios-30, os-29)
dobj(ouvem-27, pios-30)
adpmod(pios-30, das-31)
adpobj(das-31, cobras-32)
nsubj(fazem-34, que-33)
rcmod(cobras-32, fazem-34)
dobj(fazem-34, ninho-35)
advmod(fazem-34, lá-36)
advmod(fazem-34, dentro-37)
p(fechou-4, .-38)

nsubj(terminou-2, Joana-1)
root(ROOT-0, terminou-2)
det(narração-5, a-3)
poss(narração-5, sua-4)
nsubj(bebeu-6, narração-5)
xcomp(terminou-2, bebeu-6)
det(trago-8, outro-7)
dobj(bebeu-6, trago-8)
adpmod(trago-8, de-9)
adpobj(de-9, cachaça-10)
partmod(trago-8, cuspiu-11)
partmod(cuspiu-11, procurou-12)
adpmod(procurou-12, com-13)
det(olhos-15, os-14)
adpobj(com-13, olhos-15)
adpmod(olhos-15, a-16)
adpobj(a-16, Ester-17)
p(terminou-2, .-18)

cc(correra-6, Mas-1)
nsubj(correra-6, ela-2)
advmod(correra-6, já-3)
neg(correra-6, não-4)
aux(correra-6, estava-5)
root(ROOT-0, correra-6)
adpmod(correra-6, para-7)
adpobj(para-7, casa-8)
adpmod(correra-6, para-9)
adpcomp(para-9, junto-10)
adpmod(junto-10, do-11)
adpobj(do-11, filho-12)
cc(correra-6, como-13)
mark(enlouquecer-16, se-14)
advmod(enlouquecer-16, fora-15)
advcl(correra-6, enlouquecer-16)
advmod(enlouquecer-16, também-17)
p(correra-6, .-18)

advmod(na-2, Agora-1)
root(ROOT-0, na-2)
adpobj(na-2, varanda-3)
advmod(brinca-7, onde-4)
det(sol-6, o-5)
nsubj(brinca-7, sol-6)
rcmod(varanda-3, brinca-7)
partmod(varanda-3, descuidado-8)
nsubj(recorda-10, Éster-9)
partmod(descuidado-8, recorda-10)
dobj(recorda-10, essa-11)
cc(essa-11, e-12)
det(noites-14, outras-13)
conj(essa-11, noites-14)
adpmod(noites-14, de-15)
adpobj(de-15, terror-16)
p(na-2, .-17)

adpmod(escrevia-5, De-1)
compmod(Lúcia-3, Paris-2)
adpobj(De-1, Lúcia-3)
iobj(escrevia-5, lhe-4)
root(ROOT-0, escrevia-5)
dobj(escrevia-5, cartas-6)
nsubj(levavam-8, que-7)
rcmod(cartas-6, levavam-8)
num(meses-10, três-9)
dobj(levavam-8, meses-10)
adpmod(levavam-8, a-11)
adpcomp(a-11, chegar-12)
cc(escrevia-5, e-13)
mark(traziam-15, que-14)
conj(escrevia-5, traziam-15)
dobj(traziam-15, notícias-16)
adpmod(notícias-16, de-17)
det(vida-19, outra-18)
adpobj(de-17, vida-19)
adpmod(vida-19, de-20)
det(gente-22, outra-21)
adpobj(de-20, gente-22)
adpmod(gente-22, de-23)
adpobj(de-23, civilização-24)
cc(de-23, e-25)
conj(de-23, de-26)
adpobj(de-26, festas-27)
p(escrevia-5, .-28)

advmod(eram-2, Aqui-1)
root(ROOT-0, eram-2)
det(noites-4, as-3)
nsubj(eram-2, noites-4)
adpmod(noites-4, da-5)
adpobj(da-5, mata-6)
adpmod(mata-6, do-7)
adpobj(do-7, temporal-8)
cc(da-5, e-9)
conj(da-5, das-10)
adpobj(das-10, cobras-11)
p(eram-2, .-12)

root(ROOT-0, Noites-1)
adpmod(Noites-1, para-2)
adpcomp(para-2, chorar-3)
adpmod(chorar-3, sobre-4)
det(destino-6, o-5)
adpobj(sobre-4, destino-6)
amod(destino-6, desgraçado-7)
p(Noites-1, .-8)

root(ROOT-0, Crepúsculos-1)
nsubj(apertavam-3, que-2)
rcmod(Crepúsculos-1, apertavam-3)
det(coração-5, o-4)
nsubj(tiravam-6, coração-5)
partmod(apertavam-3, tiravam-6)
det(esperança-9, toda-7)
det(esperança-9, a-8)
dobj(tiravam-6, esperança-9)
p(Crepúsculos-1, .-10)

root(ROOT-0, Esperança-1)
adpmod(Esperança-1, de-2)
adpcomp(de-2, que-3)
p(Esperança-1, ?-4)

nsubj(era-2, Tudo-1)
root(ROOT-0, era-2)
advmod(definitivo-4, tão-3)
acomp(era-2, definitivo-4)
adpmod(era-2, na-5)
poss(vida-7, sua-6)
adpobj(na-5, vida-7)
p(era-2, .-8)

root(ROOT-0, Chorava-1)
amod(noites-3, noutras-2)
dobj(Chorava-1, noites-3)
advmod(Chorava-1, também-4)
p(Chorava-1, .-5)

mark(sair-4, Quando-1)
adpmod(sair-4, via-2)
adpobj(via-2, Horácio-3)
root(ROOT-0, sair-4)
adpmod(sair-4, á-5)
adpobj(á-5, frente-6)
adpmod(frente-6, de-7)
det(grupo-9, um-8)
adpobj(de-7, grupo-9)
adpmod(grupo-9, de-10)
adpobj(de-10, homens-11)
adpmod(grupo-9, para-12)
det(expedição-14, uma-13)
adpobj(para-12, expedição-14)
appos(expedição-14, qualquer-15)
p(sair-4, .-16)

root(ROOT-0, Sabia-1)
mark(soariam-8, que-2)
adpmod(soariam-8, nessa-3)
adpobj(nessa-3, noite-4)
adpmod(soariam-8, em-5)
det(parte-7, alguma-6)
adpobj(em-5, parte-7)
ccomp(Sabia-1, soariam-8)
det(tiros-10, os-9)
dobj(soariam-8, tiros-10)
p(Sabia-1, .-11)

det(homens-2, Que-1)
nsubj(morreriam-3, homens-2)
root(ROOT-0, morreriam-3)
adpmod(morreriam-3, por-4)
det(pedaço-6, um-5)
adpobj(por-4, pedaço-6)
adpmod(pedaço-6, de-7)
adpobj(de-7, terra-8)
adpmod(pedaço-6, que-9)
det(fazenda-11, a-10)
adpobj(que-9, fazenda-11)
adpmod(fazenda-11, de-12)
adpobj(de-12, Horácio-13)
nsubj(era-15, que-14)
rcmod(fazenda-11, era-15)
advmod(era-15, também-16)
poss(aumentaria-18, sua-17)
attr(era-15, aumentaria-18)
adpmod(aumentaria-18, de-19)
advmod(um-21, mais-20)
num(pedaço-22, um-21)
adpobj(de-19, pedaço-22)
adpmod(pedaço-22, de-23)
adpobj(de-23, mata-24)
p(morreriam-3, .-25)

root(ROOT-0, De-1)
compmod(Lúcia-3, Paris-2)
nsubj(escrevia-4, Lúcia-3)
adpcomp(De-1, escrevia-4)
partmod(escrevia-4, contava-5)
dobj(contava-5, bailes-6)
adpmod(contava-5, na-7)
compmod(óperas-9, Embaixada-8)
adpobj(na-7, óperas-9)
cc(óperas-9, e-10)
conj(óperas-9, concertos-11)
p(De-1, .-12)

adpmod(esperava-9, Na-1)
adpobj(Na-1, casa-grande-2)
adpmod(casa-grande-2, da-3)
adpobj(da-3, fazenda-4)
det(piano-6, o-5)
nsubj(esperava-9, piano-6)
adpmod(piano-6, de-7)
adpobj(de-7, cauda-8)
root(ROOT-0, esperava-9)
det(afinador-11, um-10)
dobj(esperava-9, afinador-11)
dobj(viera-14, que-12)
advmod(viera-14, nunca-13)
rcmod(afinador-11, viera-14)
p(esperava-9, .-15)

root(ROOT-0, Noites-1)
adpmod(Noites-1, em-2)
dobj(saía-5, que-3)
nsubj(saía-5, Horácio-4)
adpcomp(em-2, saía-5)
adpmod(saía-5, na-6)
adpobj(na-6, frente-7)
adpmod(frente-7, dos-8)
adpobj(dos-8, homens-9)
adpmod(frente-7, para-10)
adpobj(para-10, expedições-11)
amod(expedições-11, armadas-12)
p(Noites-1, !-13)

amod(vez-2, Certa-1)
root(ROOT-0, vez-2)
advmod(vez-2, depois-3)
adpmod(depois-3, dele-4)
adpcomp(dele-4, partir-5)
nsubj(encontrou-8, Ester-6)
prt(encontrou-8, se-7)
partmod(partir-5, encontrou-8)
partmod(encontrou-8, imaginando-9)
det(morte-11, a-10)
dobj(imaginando-9, morte-11)
adpmod(morte-11, de-12)
adpobj(de-12, Horácio-13)
p(vez-2, .-14)

mark(morresse-3, Se-1)
nsubj(morresse-3, ele-2)
root(ROOT-0, morresse-3)
p(morresse-3, .-4)

advmod(seriam-4, Então-1)
det(fazendas-3, as-2)
nsubj(seriam-4, fazendas-3)
root(ROOT-0, seriam-4)
advmod(dela-6, somente-5)
adpmod(seriam-4, dela-6)
adpcomp(dela-6, entregaria-7)
adp(pai-9, ao-8)
iobj(entregaria-7, pai-9)
adpmod(pai-9, para-10)
adpobj(para-10, administrá-las-11)
cc(administrá-las-11, e-12)
conj(administrá-las-11, partiria-13)
p(seriam-4, .-14)

nsubj(encontrar-2, Iria-1)
root(ROOT-0, encontrar-2)
dobj(encontrar-2, Lúcia-3)
p(encontrar-2, .-4)

root(ROOT-0, Foi-1)
advmod(Foi-1, porém-2)
det(sonho-4, um-3)
attr(Foi-1, sonho-4)
amod(sonho-4, curto-5)
p(Foi-1, .-6)

adpmod(era-4, Para-1)
compmod(Horácio-3, Ester-2)
adpobj(Para-1, Horácio-3)
root(ROOT-0, era-4)
acomp(era-4, imortal-5)
csubj(era-4, era-6)
det(dono-8, o-7)
attr(era-6, dono-8)
det(patrão-10, o-9)
appos(dono-8, patrão-10)
det(coronel-12, o-11)
appos(patrão-10, coronel-12)
p(era-4, .-13)

root(ROOT-0, Tinha-1)
dobj(Tinha-1, certeza-2)
adpmod(certeza-2, de-3)
mark(morreria-5, que-4)
adpcomp(de-3, morreria-5)
advmod(morreria-5, antes-6)
adpmod(antes-6, dele-7)
p(Tinha-1, .-8)

nsubj(dispunha-2, Ele-1)
root(ROOT-0, dispunha-2)
adpmod(dispunha-2, da-3)
adpobj(da-3, terra-4)
adpmod(terra-4, do-5)
adpobj(do-5, dinheiro-6)
cc(da-3, e-7)
conj(da-3, dos-8)
adpobj(dos-8, homens-9)
p(dispunha-2, .-10)

root(ROOT-0, Era-1)
attr(Era-1, feito-2)
adpmod(feito-2, de-3)
adpobj(de-3, ferro-4)
advmod(adoecera-6, nunca-5)
csubj(Era-1, adoecera-6)
partmod(adoecera-6, parecia-7)
mark(conheciam-12, que-8)
det(balas-10, as-9)
nsubj(conheciam-12, balas-10)
dobj(conheciam-12, o-11)
ccomp(parecia-7, conheciam-12)
cc(conheciam-12, e-13)
conj(conheciam-12, temiam-14)
p(Era-1, .-15)

adpmod(abalou-6, Por-1)
adpobj(Por-1, isso-2)
nsubj(abalou-6, ela-3)
neg(abalou-6, nem-4)
dobj(abalou-6, se-5)
root(ROOT-0, abalou-6)
adpmod(abalou-6, naquele-7)
adpobj(naquele-7, sonho-8)
advmod(ruim-10, tão-9)
amod(sonho-8, ruim-10)
cc(abalou-6, e-11)
advmod(maravilhoso-13, tão-12)
conj(abalou-6, maravilhoso-13)
p(abalou-6, .-14)

adpmod(tinha-4, Para-1)
adpobj(Para-1, ela-2)
neg(tinha-4, não-3)
root(ROOT-0, tinha-4)
amod(jeito-6, mesmo-5)
dobj(tinha-4, jeito-6)
cc(jeito-6, nem-7)
conj(jeito-6, esperança-8)
p(tinha-4, .-9)

poss(vida-2, Sua-1)
nsubj(era-3, vida-2)
root(ROOT-0, era-3)
nsubj(era-6, aquela-4)
nsubj(era-6, aquele-5)
csubj(era-3, era-6)
poss(destino-8, seu-7)
attr(era-6, destino-8)
p(era-3, .-9)

cc(era-10, E-1)
adpmod(era-10, em-2)
adpobj(em-2, Ilhéus-3)
det(moça-5, quanta-4)
nsubj(era-10, moça-5)
neg(invejava-8, não-6)
det(invejava-8, a-7)
appos(moça-5, invejava-8)
appos(invejava-8, Ela-9)
root(ROOT-0, era-10)
det(dona-12, a-11)
attr(era-10, dona-12)
appos(dona-12, Ester-13)
det(mulher-15, a-14)
appos(dona-12, mulher-15)
adpmod(mulher-15, do-16)
adpobj(do-16, homem-17)
advmod(rico-19, mais-18)
amod(homem-17, rico-19)
adpmod(homem-17, de-20)
adpobj(de-20, Tabocas-21)
adpmod(Tabocas-21, do-22)
adpobj(do-22, chefe-23)
amod(chefe-23, político-24)
appos(chefe-23, dono-25)
adpmod(dono-25, de-26)
det(terras-28, tantas-27)
nsubj(plantadas-29, terras-28)
adpcomp(de-26, plantadas-29)
adpmod(plantadas-29, de-30)
adpobj(de-30, cacau-31)
cc(mulher-15, e-32)
conj(mulher-15, de-33)
det(mata-35, tanta-34)
adpobj(de-33, mata-35)
partmod(mata-35, virgem-36)
p(era-10, .-37)

nsubj(chegou-2, Horácio-1)
root(ROOT-0, chegou-2)
advmod(chegou-2, junto-3)
adpmod(junto-3, da-4)
adpobj(da-4, rede-5)
p(chegou-2, .-6)

root(ROOT-0, Ester-1)
advmod(teve-3, mal-2)
ccomp(Ester-1, teve-3)
dobj(teve-3, tempo-4)
adpmod(tempo-4, de-5)
adpcomp(de-5, enxugar-6)
det(lágrimas-8, as-7)
dobj(enxugar-6, lágrimas-8)
p(Ester-1, .-9)

nsubj(trazia-2, Ele-1)
root(ROOT-0, trazia-2)
adpmod(trazia-2, na-3)
adpobj(na-3, mão-4)
det(coco-7, um-5)
amod(coco-7, pequeno-6)
dobj(trazia-2, coco-7)
adpmod(coco-7, de-8)
adpcomp(de-8, cacau-9)
dobj(cacau-9, primícia-10)
adpmod(primícia-10, da-11)
adpobj(da-11, roça-12)
amod(roça-12, nova-13)
p(trazia-2, .-14)

root(ROOT-0, Vinha-1)
advmod(sorridente-3, quase-2)
acomp(Vinha-1, sorridente-3)
p(Vinha-1, :-4)
p(Vinha-1, --5)
det(roça-7, A-6)
nsubj(botando-10, roça-7)
advmod(botando-10, já-8)
aux(botando-10, está-9)
parataxis(Vinha-1, botando-10)
p(Vinha-1, .-11)

root(ROOT-0, Ficou-1)
acomp(Ficou-1, parado-2)
neg(compreendia-4, não-3)
csubj(Ficou-1, compreendia-4)
mwe(que-6, por-5)
mark(chorando-9, que-6)
nsubj(chorando-9, ela-7)
aux(chorando-9, estava-8)
advcl(compreendia-4, chorando-9)
p(Ficou-1, .-10)

advmod(deu-3, Primeiro-1)
iobj(deu-3, lhe-2)
root(ROOT-0, deu-3)
dobj(deu-3, raiva-4)
p(deu-3, :-5)
p(chorando-11, --6)
adpmod(chorando-11, Por-7)
det(diabo-9, que-8)
adpobj(Por-7, diabo-9)
aux(chorando-11, está-10)
parataxis(deu-3, chorando-11)
p(chorando-11, ?-12)

poss(vida-2, Sua-1)
nsubjpass(chorar-4, vida-2)
auxpass(chorar-4, é-3)
root(ROOT-0, chorar-4)
p(chorar-4, ?-5)

neg(tem-2, Não-1)
root(ROOT-0, tem-2)
dobj(tem-2, tudo-3)
appos(tudo-3, o-4)
dobj(quer-6, que-5)
rcmod(o-4, quer-6)
p(tem-2, ?-7)

mark(é-2, Que-1)
root(ROOT-0, é-2)
mark(falta-5, que-3)
iobj(falta-5, lhe-4)
csubj(é-2, falta-5)
p(é-2, ?-6)

nsubj(prendeu-2, Ester-1)
root(ROOT-0, prendeu-2)
det(soluço-4, o-3)
dobj(prendeu-2, soluço-4)
p(prendeu-2, :-5)
p(é-8, --6)
neg(é-8, Não-7)
parataxis(prendeu-2, é-8)
attr(é-8, nada-9)
p(prendeu-2, .-10)

compmod(minha-2, Besteira-1)
root(ROOT-0, minha-2)
p(minha-2, .-3)

nsubj(sabia-6, Tomou-1)
adpmod(Tomou-1, do-2)
adpobj(do-2, fruto-3)
adpmod(fruto-3, do-4)
adpobj(do-4, cacaueiro-5)
root(ROOT-0, sabia-6)
mark(agradaria-9, que-7)
nsubj(agradaria-9, aquilo-8)
ccomp(sabia-6, agradaria-9)
adpmod(agradaria-9, ao-10)
adpobj(ao-10, marido-11)
p(sabia-6, .-12)

nsubj(sorriu-2, Horácio-1)
root(ROOT-0, sorriu-2)
advmod(alegre-4, já-3)
amod(feliz-6, alegre-4)
advmod(feliz-6, já-5)
acomp(sorriu-2, feliz-6)
adpmod(feliz-6, da-7)
adpobj(da-7, esposa-8)
det(olhos-10, os-9)
dobj(sorriu-2, olhos-10)
partmod(olhos-10, descendo-11)
adpmod(descendo-11, pelo-12)
adpobj(pelo-12, corpo-13)
poss(corpo-13, dela-14)
p(sorriu-2, .-15)

nsubj(estavam-2, Ali-1)
root(ROOT-0, estavam-2)
det(coisas-5, as-3)
amod(coisas-5, únicas-4)
nsubj(estavam-2, coisas-5)
dobj(amava-8, que-6)
nsubj(amava-8, ele-7)
rcmod(coisas-5, amava-8)
adpmod(amava-8, no-9)
adpobj(no-9, mundo-10)
p(coisas-5, :-11)
appos(coisas-5, Ester-12)
cc(Ester-12, e-13)
conj(Ester-12, cacau-14)
p(estavam-2, .-15)

root(ROOT-0, Sentou-se-1)
advmod(Sentou-se-1, junto-2)
adpmod(junto-2, a-3)
adpobj(a-3, ela-4)
adpmod(Sentou-se-1, na-5)
adpobj(na-5, rede-6)
partmod(Sentou-se-1, perguntou-7)
p(perguntou-7, :-8)
p(Por-10, --9)
adpmod(perguntou-7, Por-10)
nsubj(chora-12, que-11)
adpcomp(Por-10, chora-12)
dobj(chora-12, tola-13)
p(Sentou-se-1, ?-14)

p(estou-3, --1)
neg(estou-3, Não-2)
root(ROOT-0, estou-3)
det(chorando-5, mais-4)
